Apfel Jonagold BIO;Apfel Royal Gala;Apfel Pink Lady;Apfel GOLDEN DELICIOUS;KIWI;Aprikose;Fenchel;Paprika;Tomaten Strauch;Tomaten Cocktail;Tomaten Cocktail-Strauch;Zucchini;Birne rot-gelb;Pfirsich Platt;Nektarine;Orange;Mandarinen;Gurke;Banane Fairtrade BIO;Banane normal;Banane Fairtrade;Birne Tafel;Trauben Gruen;Trauben Rot;Lauchzwiebel;Aubergine;Kirsche;Suesskartoffel;Erdbeere;Radischen
219;166;205;189;90;65;389;216;663;140;281;248;206;129;130;385;119;487;1100;918;960;230;372;627;56;257;296;55;182;193
219;166;205;189;90;65;389;216;663;140;281;248;206;129;130;385;119;487;1100;918;960;230;372;627;56;257;296;55;182;193
219;166;205;189;90;65;389;216;663;140;281;248;206;129;130;385;119;487;1100;918;960;230;372;627;56;257;112;55;182;193
192;166;205;189;90;65;389;216;663;82;281;248;206;129;147;385;119;487;1100;918;960;230;372;627;56;257;112;55;182;193
192;167;205;189;90;65;389;216;663;82;281;248;206;129;147;385;103;487;1100;918;960;181;372;627;56;257;112;55;182;193
192;167;205;189;90;69;389;216;663;82;219;248;206;129;147;385;103;456;1100;918;499;181;372;627;56;257;112;55;337;193
196;167;205;189;90;69;389;216;663;64;219;272;206;129;140;301;103;456;567;540;499;181;372;627;56;257;112;103;337;193
196;167;205;189;90;69;389;216;305;64;219;272;206;127;140;301;103;456;567;540;499;278;372;627;51;257;203;103;337;193
196;194;205;189;90;69;389;216;305;205;219;272;215;127;140;301;113;456;567;540;499;278;372;627;51;257;203;103;273;225
196;194;205;189;90;69;389;216;305;205;219;272;215;127;137;301;113;456;567;540;499;278;372;627;51;265;203;103;273;225
199;194;200;189;135;73;300;173;305;205;219;272;215;127;137;301;113;456;533;377;499;278;372;530;51;265;203;103;273;225
199;350;200;185;135;73;300;173;305;205;219;272;215;127;137;-301;113;943;533;377;499;135;345;530;45;265;203;88;273;14
199;350;200;185;135;73;300;173;359;205;394;272;215;127;140;301;113;943;533;377;499;135;345;530;45;265;203;88;273;14
199;350;200;185;135;73;300;173;359;205;394;272;215;127;140;301;107;943;533;269;499;135;345;530;45;265;203;88;273;14
208;519;200;185;135;73;300;173;359;145;394;143;215;127;140;301;107;943;533;269;-499;184;345;530;45;265;203;88;211;59
208;519;200;185;135;66;300;173;359;145;394;143;215;118;130;317;107;943;824;269;499;184;345;428;45;522;6;88;211;59
208;519;200;185;104;66;300;173;359;145;394;143;215;118;130;317;221;943;824;269;499;184;345;428;27;522;6;68;211;59
404;519;200;185;104;66;300;173;359;368;394;143;215;118;130;317;221;943;824;271;461;549;345;428;27;522;10;68;211;59
596;734;200;185;104;66;280;173;359;368;394;143;422;118;277;317;221;943;824;271;461;549;279;428;27;522;10;68;211;213
596;734;200;185;104;66;280;173;663;368;394;143;422;127;277;317;221;943;423;271;461;549;-279;428;27;522;84;68;211;213
596;734;407;185;104;142;280;181;663;11;394;143;422;127;277;317;221;943;423;134;461;549;279;428;27;522;84;68;211;213
815;1079;407;374;225;142;280;181;663;63;388;414;422;127;277;702;222;943;423;134;461;459;279;428;27;522;84;68;211;213
815;1079;407;374;225;210;669;181;663;63;388;414;422;127;296;702;222;943;700;134;461;459;279;428;27;522;84;191;211;213
815;1079;407;374;225;210;669;181;663;45;388;414;422;127;296;702;222;943;700;134;173;459;279;428;71;522;128;191;211;213
815;1079;407;374;225;205;669;181;521;45;388;-519;422;254;407;702;222;943;700;137;173;459;92;428;71;522;128;191;211;213
1013;393;407;374;194;205;669;181;521;45;388;519;422;254;407;687;210;943;700;137;173;459;92;138;71;522;128;191;211;118
1013;393;407;374;194;205;669;181;521;45;388;519;422;254;407;687;210;943;677;137;173;411;66;138;71;522;128;191;468;118
1013;366;407;374;194;205;669;181;143;35;388;519;422;254;416;687;210;943;145;-137;173;411;66;73;71;522;128;143;468;118
1013;366;407;374;194;275;689;181;143;35;388;391;422;247;416;687;329;943;145;516;173;411;26;73;71;522;212;143;468;118
1013;366;407;374;194;275;689;181;143;35;500;391;422;247;416;618;329;943;145;516;615;365;345;30;67;522;212;143;468;118
600;517;407;374;329;275;669;355;141;186;500;391;422;247;554;618;329;943;145;516;615;365;345;30;176;522;212;172;468;85
600;517;407;374;329;275;669;355;141;145;500;662;422;247;554;618;335;943;130;783;615;365;345;301;176;522;212;172;31;85
600;517;407;374;329;275;669;355;141;204;500;662;422;-;677;618;335;456;130;783;615;413;345;301;176;522;212;172;31;85
796;517;407;374;329;275;65;390;232;204;500;662;422;375;677;618;335;456;147;783;499;730;345;301;246;265;212;314;34;85
796;712;407;374;329;136;65;390;232;204;500;662;422;375;824;1004;335;456;147;783;499;730;181;301;246;265;212;314;34;85
796;712;407;374;329;136;322;390;232;276;242;662;422;375;824;1004;442;487;147;648;499;873;181;301;246;265;212;314;13;85
1015;712;407;374;329;136;322;397;-232;276;242;662;422;375;824;1004;442;487;1099;648;499;1007;181;301;246;265;212;314;13;85
1015;712;407;374;329;134;388;571;233;103;242;662;422;383;824;1004;442;945;1099;648;461;1007;163;301;246;265;212;246;13;85
1015;705;409;376;330;134;593;571;663;103;502;664;424;502;824;1004;442;945;421;650;663;1009;347;303;248;524;212;227;160;191
1015;705;409;376;330;134;593;573;663;300;502;664;424;502;826;1004;444;456;700;650;663;1009;347;303;248;524;294;316;160;191
;;;;;277;;573;;300;;;;504;826;1004;444;;700;;;;;;;;;316;;
;;;;;277;;;;;;;;504;;1006;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;1006;;;;;;;;;;;;;;